품목별,2003,,품목별,2004,,품목별,2006,,품목별,2007,,품목별,2008,,품목별,2009,,품목별,2011,,품목별,2012,,품목별,2013,,품목별 ,2012,,품목별,2016,,품목별,2017,,품목별,2018,,품목별,2019,,품목별,2021
품목별,출하금액 (백만원),,품목별,출하금액 (백만원),,품목별,출하금액 (백만원),,품목별,출하금액 (백만원),,품목별,출하금액 (백만원),,품목별,출하금액 (백만원),,품목별,출하금액 (백만원),,품목별,출하금액 (백만원),,품목별,출하금액 (백만원),,품목별 ,출하금액 (백만원),,품목별,출하액 (백만원),,품목별,출하액 (백만원),,품목별,출하액 (백만원),,품목별,출하액 (백만원),,품목별,출하액 (백만원)
돼지고기(도축한 것),1049976,,닭고기,1127525,,쇠고기(도축한 것),322344,, 식료품 제조업,39733242,, 식료품 제조업,46072445,,  닭고기,1958271,,  쇠고기(도축),354968,,  쇠고기(도축),266988,,쇠고기(도축),268975,,쇠고기(도축),359277,,쇠고기(도축),475805,,쇠고기(도축),463205,,쇠고기(도축),587184,,쇠고기(도축),581160,, 규석(채굴),   22 076
기타 도축고기,3178,,오리 및 기타 소동물 고기,61783,,돼지고기(도축한 것),1316409,,  쇠고기(도축),306906,,  쇠고기(도축),277808,,  오리고기,226854,,  돼지고기(도축),1348454,,  돼지고기(도축),1199885,,돼지고기(도축),1201911,,돼지고기(도축),1336176,,돼지고기(도축),1377920,,돼지고기(도축),1480520,,돼지고기(도축),1473698,,돼지고기(도축),1526958,, 장석(채굴), X
닭고기,694251,,도축고기 및 가금고기 부산물,42619,,기타 도축고기,...,,  돼지고기(도축),1033190,,  돼지고기(도축),961952,,  원피,...,,  기타 도축고기,...,,  기타 도축고기,...,,닭고기,2282184,,닭고기,2332345,,기타 도축고기,X,,기타 도축고기,X,,기타 도축고기,X,,기타 도축고기,X,, 기타 비금속광물,   7 387
오리 및 기타 소동물 고기,79095,,베이컨,19841,,닭고기,1273840,,  기타 도축고기,...,,  기타 도축고기,...,,  도축고기 및 가금고기 부산물,208767,,  닭고기,2050621,,  닭고기,2152759,,오리고기,252486,,오리고기,132980,,원피,X,,원피,X,,원피,X,,원피,X,,,
도축고기 및 가금고기 부산물,107037,,햄,347136,,오리 및 기타 소동물 고기,120058,,  닭고기,1350268,,  닭고기,1866153,,"  가금류 소지시, 통조림 및 병조림",...,,  오리고기,271947,,  오리고기,289147,,원피,...,,원피,...,,육류 도축고기 부산물,114649,,육류 도축고기 부산물,224814,,육류 도축고기 부산물,143536,,육류 도축고기 부산물,121711,, 광업 지원 서비스업, X
베이컨,15065,,육지동물 소시지 및 유사제품,195912,,도축고기 및 가금고기 부산물,69481,,  오리고기,153535,,  오리고기,134765,,  가금류 포장육,565953,,  원피,...,,  원피,...,,도축고기 부산물,126306,,도축고기 부산물,93174,,닭고기,2526507,,닭고기,2589867,,닭고기,2580640,,닭고기,2616477,,,
햄,299954,,육지동물 통조림 및 병조림,85234,,베이컨,33024,,  원피,...,,  도축고기 및 가금고기 부산물,182497,,  기타 가금류 가공품,271671,,  도축고기 및 가금고기 부산물,185417,,  도축고기 부산물,123702,,가금고기(소동물포함) 부산물,93267,,가금고기(소동물포함) 부산물,71173,,오리고기,232508,,오리고기,245367,,오리고기,311249,,오리고기,292541,, 기타 광업 지원 서비스, X
기타 가공처리한 돼지고기,262839,,육지동물 포장육,1386577,,햄,370106,,  도축고기 및 가금고기 부산물,40583,,"  가금류 소지시, 통조림 및 병조림",8786,,  베이컨,24027,,"  가금류 소시지, 통조림 및 병조림",...,,  가금고기(소동물포함) 부산물,198407,,"가금류 소지시, 통조림 및 병조림",...,,"가금류 소시지, 통조림 및 병조림",8906,,기타 가금고기 부산물,43928,,기타 가금류고기,X,,기타 가금류고기,X,,기타 가금고기 부산물,41145,,,
육지동물 소시지 및 유사제품,187124,,기타 고기가공품,488180,,육지동물 소시지 및 유사제품,262180,,"  가금류 소지시, 통조림 및 병조림",99870,,  가금류 포장육,296667,,  햄(가축),535564,,  가금류 포장육,729178,,"  가금류 소지시, 통조림 및 병조림",...,,가금류 포장육,845408,,가금류 포장육,934871,,"가금류 소시지, 통조림 및 병조림",6864,,기타 가금고기 부산물,27319,,기타 가금고기 부산물,85514,,"가금류 소시지, 통조림 및 병조림",8838,, 제조업 (10 ~ 34), 1 717 099 039
육지동물 통조림 및 병조림,78493,,어육(신선 및 냉동한 것),128116,,육지동물 통조림 및 병조림,69206,,  가금류 포장육,228218,,  기타 가금류 가공품,138011,,  소시지(축육),272694,,  기타 가금류 가공품,661321,,  가금류 포장육,774494,,기타 가금류 가공품,600094,,기타 가금류 가공품,471184,,가금류 포장육,1252351,,"가금류 소시지, 통조림 및 병조림",6776,,"가금류 소시지, 통조림 및 병조림",7868,,가금류 포장육,1394263,,,
돼지고기를 제외한 기타 고기가공품,227772,,어류 부산물(신선 및 냉동한 것),21842,,육지동물 포장육,1493158,,  기타 가금류 가공품,122442,,  베이컨,19022,,  기타 육지동물 소시지 유사제품,132499,,  베이컨,64513,,  기타 가금류 가공품,653172,,베이컨,108899,,베이컨,134793,,기타 가금류 가공품,425810,,가금류 포장육,1274275,,가금류 포장육,1541252,,기타 가금류 가공품,615027,, 식료품 제조업,  98 038 104
육지동물 포장육,1023427,,어묵 및 유사가공품,327125,,기타 고기가공품,561431,,  베이컨,43500,,  햄(가축),480188,,  육지동물 통조림 및 병조림,...,,  햄(가축),674766,,  베이컨,89851,,햄(가축),547574,,햄(가축),616347,,육지동물 포장육,4161391,,기타 가금류 가공품,434695,,기타 가금류 가공품,542337,,육지동물 포장육,5000074,,,
어육(신선 및 냉동한 것),122841,,어육 소시지 및 어묵햄,60279,,어육(신선 및 냉동한 것),147122,,  햄(가축),406726,,  소시지(축육),224889,,  육지동물 포장육,2000268,,  소시지(축육),452788,,  햄(가축),608334,,소시지(축육),436440,,소시지(축육),467310,,육지동물 통조림 및 병조림,10208,,육지동물 포장육,4510834,,육지동물 포장육,4550823,,육지동물 통조림 및 병조림,51342,, 쇠고기(도축),   776 944
어류 부산물(신선 및 냉동한 것),28018,,어류 훈제 및 조미조제식품,210375,,어류 부산물(신선 및 냉동한 것),59542,,  소시지(축육),196471,,  기타 육지동물 소시지 유사제품,124453,,  기타 고기가공품,709518,,  기타 육지동물 소시지 유사제품,114669,,  소시지(축육),552825,,기타 육지동물 소시지 유사제품,156321,,기타 육지동물 소시지 유사제품,186862,,베이컨,130390,,육지동물 통조림 및 병조림,19216,,육지동물 통조림 및 병조림,38892,,베이컨,88495,, 돼지고기(도축),  1 880 073
어묵 및 유사가공품,391623,,기타 수산동물 조리가공품,38736,,어묵 및 유사가공품,301304,,  기타 육지동물 소시지 유사제품,114106,,  육지동물 통조림 및 병조림,8656,,  어묵 및 유사가공품,359087,,  육지동물 통조림 및 병조림,12724,,  기타 육지동물 소시지 유사제품,128666,,육지동물 통조림 및 병조림,14907,,육지동물 통조림 및 병조림,16987,,햄(가축),648162,,베이컨,175427,,베이컨,65315,,햄(가축),819591,, 기타 도축고기, X
어육 소시지 및 어묵햄,61615,,참치 통조림,152031,,어육 소시지 및 어묵햄,78047,,  육지동물 통조림 및 병조림,65351,,  육지동물 포장육,1713667,,  어육 소시지 및 어묵햄,104734,,  육지동물 포장육,2548508,,  육지동물 통조림 및 병조림,13724,,육지동물 포장육,2712592,,육지동물 포장육,3557227,,소시지(축육),569501,,햄(가축),720772,,햄(가축),756168,,소시지(축육),385198,, 원피, X
어류 훈제 및 조미조제식품,199792,,골뱅이통조림,69327,,어류 훈제 및 조미조제식품,201334,,  육지동물 포장육,1502121,,  기타 고기가공품,401801,,  조미오징어,122465,,  기타 고기가공품,604963,,  육지동물 포장육,2211332,,기타 고기가공품,498907,,기타 고기가공품,641459,,기타 육지동물 소시지 유사제품,289492,,소시지(축육),546548,,소시지(축육),369801,,기타 육지동물 소시지 유사제품,282038,, 육류 도축고기 부산물,   180 406
어분(식용),...,,굴 통조림,37906,,기타 수산동물 조리가공품,32578,,  기타 고기가공품,346751,,  어묵 및 유사가공품,374137,,  조미쥐치포,26483,,  어묵 및 유사가공품,430646,,  기타 고기가공품,618593,,어묵 및 유사가공품,464194,,어묵 및 유사가공품,452830,,기타 고기가공품,898269,,기타 육지동물 소시지 유사제품,282416,,기타 육지동물 소시지 유사제품,305675,,기타 고기가공품,1507149,, 닭고기,  2 939 176
기타 수산동물 조리가공품,34507,,기타 수산동물 통조림,54008,,참치 통조림,211362,,  어묵 및 유사가공품,314743,,  어육 소시지 및 어묵햄,81205,,  기타 조미조제식품 및 어류훈제품,42115,,  어육 소시지 및 어묵햄,154143,,  어묵 및 유사가공품,525767,,어육 소시지 및 어묵햄,222109,,어육 소시지 및 어묵햄,185102,,어묵 및 유사가공품,659696,,기타 고기가공품,1072246,,기타 고기가공품,1361988,,어묵 및 유사가공품,651641,,,
꽁치 통조림,15261,,냉동 참치,154322,,골뱅이통조림,56432,,  어육 소시지 및 어묵햄,83838,,  조미오징어,99523,,  기타 수산동물 조리가공품,87020,,  조미오징어,208847,,  어육 소시지 및 어묵햄,175863,,조미오징어,195446,,조미오징어,228238,,어육 소시지 및 어묵햄,159316,,어묵 및 유사가공품,674986,,어묵 및 유사가공품,595492,,어육 소시지 및 어묵햄,383193,, 오리고기,   407 137
고등어 통조림,8096,,냉동 고등어,37256,,굴 통조림,18014,,  조미오징어,122413,,  조미쥐치포,16365,,  참치통조림,289823,,  조미쥐치포,21894,,  조미오징어,227216,,조미쥐치포,30944,,조미쥐치포,19711,,조미오징어,294338,,어육 소시지 및 어묵햄,233514,,어육 소시지 및 어묵햄,340997,,조미오징어,289967,, 기타 가금고기 부산물,   33 096
참치 통조림,131278,,동태,41432,,기타 수산동물 통조림,34674,,  조미쥐치포,16540,,  기타 조미조제식품 및 어류훈제품,44567,,  골뱅이통조림,51439,,  기타 조미조제식품 및 어류훈제품,64569,,  조미쥐치포,25874,,기타 조미조제식품 및 어류훈제품,81109,,기타 조미조제식품 및 어류훈제품,110845,,조미쥐치포,32969,,조미오징어,318456,,조미오징어,299937,,조미쥐치포,32058,," 가금류 소시지, 통조림 및 병조림",   14 787
골뱅이통조림,56522,,기타 어류 및 부산물의 냉동품,117328,,냉동 참치,146065,,  기타 조미조제식품 및 어류훈제품,33463,,  기타 수산동물 조리가공품,56836,,  굴 통조림,19067,,  기타 수산동물 조리가공품,70605,,  기타 조미조제식품 및 어류훈제품,119126,,기타 수산동물 조리가공품,84254,,기타 수산동물 조리가공품,87192,,기타 조미조제식품 및 어류훈제품,86170,,조미쥐치포,34334,,조미쥐치포,35175,,기타 조미조제식품 및 어류훈제품,72072,, 가금류 포장육,  1 804 806
굴 통조림,44867,,갑각류 냉동품,42454,,냉동 고등어,27226,,  기타 수산동물 조리가공품,53117,,  참치통조림,260170,,  꽁치통조림,9152,,  참치통조림,362755,,  기타 수산동물 조리가공품,50317,,참치통조림,490464,,참치통조림,354655,,기타 수산동물 조리가공품,94958,,기타 조미조제식품 및 어류훈제품,85130,,기타 조미조제식품 및 어류훈제품,73575,,기타 수산동물 조리가공품,130151,, 기타 가금류 가공품,   670 146
기타 수산동물 통조림,15158,,연체동물 냉동품,165432,,동태,6417,,  참치통조림,279493,,  골뱅이통조림,43220,,  기타 수산동물 통조림,6938,,  골뱅이통조림,44925,,  참치통조림,519134,,골뱅이통조림,55710,,골뱅이통조림,59724,,참치통조림,501122,,기타 수산동물 조리가공품,102682,,기타 수산동물 조리가공품,111227,,참치통조림,479884,, 육지동물 포장육,  7 362 683
냉동 참치,124833,,명태 건제품,96119,,기타 어류 및 부산물의 냉동품,140058,,  골뱅이통조림,80520,,  굴 통조림,17805,,  명태 건제품,81765,,  굴 통조림,26561,,  골뱅이통조림,42881,,굴 통조림,12641,,굴 통조림,18110,,골뱅이통조림,53846,,참치통조림,455366,,참치통조림,458468,,골뱅이통조림,47941,, 육지동물 통조림 및 병조림,   97 396
