"품목분류별 사업체수，생산액，출하 및 연말재고액(10명이상)"

"C행정구역별","행정구역별","C품목별","품목별","시점","사업체수 (개)","생산액 (백만원)","출하금액 (백만원)","완제품 연말재고액 (백만원)"
'00,"전  국",'C10749109,"  기타 식품첨가물",2009,51.0000,305679.0000,298849.0000,29377.0000
'00,"전  국",'C10791101,"  원두커피",2009,13.0000,102677.0000,103457.0000,2067.0000
'00,"전  국",'C10791102,"  인스턴트 커피",2009,10.0000,197441.0000,195855.0000,6201.0000
'00,"전  국",'C10791103,"  커피믹스",2009,19.0000,428101.0000,429048.0000,17099.0000
'00,"전  국",'C10792101,"  녹차",2009,40.0000,128800.0000,127894.0000,7413.0000
'00,"전  국",'C10792102,"  홍차",2009,6.0000,31045.0000,31913.0000,2599.0000
'00,"전  국",'C10792103,"  치커리차, 보리차 및 옥수수차",2009,16.0000,31020.0000,30982.0000,1877.0000
'00,"전  국",'C10792104,"  율무차",2009,13.0000,25747.0000,25796.0000,1596.0000
'00,"전  국",'C10792105,"  유자차",2009,30.0000,52704.0000,52318.0000,3124.0000
'00,"전  국",'C10792106,"  꿀차",2009,6.0000,32420.0000,32937.0000,2391.0000
'00,"전  국",'C10792109,"  기타 가공차",2009,58.0000,79187.0000,78814.0000,5704.0000
'00,"전  국",'C10793101,"  조제수프",2009,25.0000,69593.0000,69435.0000,3954.0000
'00,"전  국",'C10793102,"  이유식",2009,8.0000,116604.0000,114343.0000,6056.0000
'00,"전  국",'C10793103,"  음료 베이스",2009,12.0000,189218.0000,188209.0000,3285.0000
'00,"전  국",'C10794101,"  두부",2009,66.0000,309168.0000,308800.0000,1440.0000
'00,"전  국",'C10794102,"  유부",2009,8.0000,53076.0000,53043.0000,732.0000
'00,"전  국",'C10794109,"  기타 묵 및 유사제품",2009,22.0000,26904.0000,27016.0000,190.0000
'00,"전  국",'C10795101,"  백삼",2009,14.0000,15815.0000,15732.0000,6885.0000
'00,"전  국",'C10795102,"  홍삼",2009,28.0000,154575.0000,146490.0000,46132.0000
'00,"전  국",'C10795103,"  인삼분말",2009,12.0000,44510.0000,47370.0000,5284.0000
'00,"전  국",'C10795104,"  인삼즙",2009,48.0000,109456.0000,107085.0000,20352.0000
'00,"전  국",'C10795105,"  인삼차",2009,28.0000,102730.0000,103296.0000,8223.0000
'00,"전  국",'C10795106,"  인삼과자",2009,17.0000,114455.0000,113374.0000,15239.0000
'00,"전  국",'C10795109,"  기타 인삼기저 식품",2009,22.0000,22293.0000,22455.0000,1231.0000
'00,"전  국",'C10796101,"  건강원제품",2009,17.0000,32613.0000,31805.0000,1490.0000
'00,"전  국",'C10796109,"  기타 건강보조용 액화식품",2009,51.0000,165795.0000,163809.0000,10142.0000
'00,"전  국",'C10797101,"  스쿠알렌식품",2009,1.0000,...,...,...
'00,"전  국",'C10797102,"  효소식품",2009,11.0000,25211.0000,24560.0000,4360.0000
'00,"전  국",'C10797103,"  정제어유가공식품",2009,3.0000,16461.0000,16014.0000,1086.0000
'00,"전  국",'C10797104,"  알로에식품",2009,3.0000,44343.0000,44589.0000,3134.0000
'00,"전  국",'C10797109,"  기타 건강기능식품",2009,58.0000,231954.0000,231366.0000,14005.0000
'00,"전  국",'C10798101,"  냉동만두",2009,42.0000,387085.0000,388078.0000,11206.0000
'00,"전  국",'C10798102,"  기타 냉동조리식품",2009,79.0000,518219.0000,514417.0000,24155.0000
'00,"전  국",'C10798103,"  김밥(제조도매)",2009,21.0000,154757.0000,155095.0000,325.0000
'00,"전  국",'C10798104,"  도시락(제조도매)",2009,103.0000,344162.0000,343920.0000,1217.0000
'00,"전  국",'C10798105,"  레토르트 식품",2009,30.0000,299644.0000,296517.0000,12522.0000
'00,"전  국",'C10798109,"  기타 식사용 조리식품(제조도매)",2009,98.0000,306193.0000,307428.0000,3884.0000
'00,"전  국",'C10799101,"  계란 및 새알 가공품",2009,25.0000,190989.0000,192246.0000,8065.0000
'00,"전  국",'C10799109,"  기타 식품",2009,2.0000,...,...,...
'00,"전  국",'C10800101,"  배합사료(양우용)",2009,95.0000,3137275.0000,3138167.0000,19948.0000
'00,"전  국",'C10800102,"  배합사료(양돈용)",2009,54.0000,2026066.0000,2014672.0000,28715.0000
'00,"전  국",'C10800103,"  배합사료(양계용)",2009,41.0000,1684421.0000,1690464.0000,10254.0000
'00,"전  국",'C10800104,"  배합사료(기타 동물)",2009,47.0000,1253952.0000,1262905.0000,9347.0000
'00,"전  국",'C10800105,"  애완동물사료",2009,13.0000,88973.0000,88966.0000,1248.0000
'00,"전  국",'C10800106,"  사료 첨가제",2009,29.0000,67273.0000,67223.0000,3983.0000
'00,"전  국",'C10800109,"  기타 사료",2009,52.0000,390850.0000,391581.0000,9065.0000
'00,"전  국",'C10800200,"  동물용 조제식품",2009,2.0000,...,...,...
'00,"전  국",'C11," 음료 제조업",2009,450.0000,8255865.0000,8231084.0000,260252.0000
'00,"전  국",'C11111101,"  탁주",2009,31.0000,181070.0000,180653.0000,1421.0000
'00,"전  국",'C11111102,"  약주",2009,9.0000,68195.0000,67922.0000,5708.0000
'00,"전  국",'C11112100,"  청주",2009,4.0000,133726.0000,133538.0000,5267.0000
'00,"전  국",'C11113101,"  맥아",2009,4.0000,23972.0000,23241.0000,12007.0000
'00,"전  국",'C11113102,"  맥주",2009,6.0000,1880100.0000,1879068.0000,21666.0000
'00,"전  국",'C11119101,"  포도주, 샴페인",2009,4.0000,8478.0000,8693.0000,796.0000
'00,"전  국",'C11119102,"  복분자주",2009,18.0000,71342.0000,70246.0000,5188.0000
'00,"전  국",'C11119109,"  기타 발효주",2009,8.0000,6946.0000,7207.0000,1130.0000
'00,"전  국",'C11121100,"  주정",2009,12.0000,467175.0000,460355.0000,16555.0000
'00,"전  국",'C11122100,"  소주",2009,19.0000,1479140.0000,1475720.0000,29798.0000
'00,"전  국",'C11129101,"  위스키",2009,4.0000,185858.0000,189484.0000,5362.0000
'00,"전  국",'C11129102,"  매실주",2009,6.0000,35789.0000,36293.0000,904.0000
'00,"전  국",'C11129109,"  기타 증류주 및 합성주",2009,12.0000,10556.0000,10322.0000,861.0000
'00,"전  국",'C11201100,"  얼음",2009,42.0000,27158.0000,27088.0000,890.0000
'00,"전  국",'C11202100,"  생수",2009,57.0000,312176.0000,310351.0000,6113.0000
'00,"전  국",'C11209101,"  콜라",2009,6.0000,391914.0000,391504.0000,5150.0000
'00,"전  국",'C11209102,"  사이다",2009,9.0000,414863.0000,411497.0000,9807.0000
'00,"전  국",'C11209103,"  기타 탄산음료",2009,11.0000,281517.0000,281864.0000,13269.0000
'00,"전  국",'C11209104,"  알카리성 이온음료",2009,7.0000,86115.0000,86573.0000,3570.0000
'00,"전  국",'C11209105,"  식물성 섬유음료",2009,10.0000,48564.0000,48566.0000,2511.0000
'00,"전  국",'C11209106,"  인삼음료",2009,27.0000,165436.0000,167594.0000,12882.0000
'00,"전  국",'C11209107,"  과실음료",2009,45.0000,717969.0000,710651.0000,37014.0000
'00,"전  국",'C11209108,"  채소음료",2009,4.0000,23732.0000,23635.0000,1050.0000
'00,"전  국",'C11209109,"  두유",2009,14.0000,192026.0000,192687.0000,7394.0000
'00,"전  국",'C11209110,"  커피 음료",2009,15.0000,336395.0000,336117.0000,12193.0000
'00,"전  국",'C11209800,"  기타 비알콜성 음료",2009,66.0000,705653.0000,700215.0000,41746.0000
'00,"전  국",'C12," 담배 제조업",2009,10.0000,3255864.0000,3311584.0000,245973.0000
'00,"전  국",'C12001100,"  담배잎(재건조)",2009,2.0000,...,...,...
'00,"전  국",'C12002101,"  담배",2009,8.0000,...,...,...
'00,"전  국",'C13," 섬유제품 제조업; 의복제외",2009,2297.0000,14091985.0000,14161532.0000,824839.0000
'00,"전  국",'C13101100,"  방적용 면",2009,3.0000,30203.0000,29710.0000,1204.0000
