품목별,값1,값2,값3
기타 고기가공품,1072246,1361988,1507149
기타 고무제품,95152,113634,107625
기타 고정식축전기,X,X,X
기타 고정저항기,12818,7823,7634
기타 곡물가공기계,11516,10627,10705
기타 곡물가루,146743,149341,165069
기타 곡물조제식품,142384,114447,137966
기타 곡분과자,115548,123795,125411
기타 골판지제 관련제품,56042,47262,31588
기타 공기조화장치,372441,330460,286446
기타 공작기계,324391,260935,243295
기타 공작기계 부품,55843,56123,47146
기타 공작기계용 부속물,105403,97392,114399
기타 공장용 음식료품 제조기계,204992,208419,204170
기타 과실 및 채소 절임식품,263041,270877,285856
기타 과실가공품,94824,103480,122283
기타 광물제조장비,10320,9131,9717
기타 광산 기계,35488,24730,14422
기타 광업 지원 서비스,X,X,X
기타 광택제,52216,51828,59534
기타 광학기기,167375,298564,274756
기타 광학기기의 부품,92410,147215,233309
기타 광학요소 관련품,29243,29365,29947
기타 궐련,X,X,X
기타 궤조 및 철도선로자재,X,X,X
기타 귀금속 1차정련품,X,124215,104893
기타 금속 무기화합물,233747,243140,265531
기타 금속 위생용품,112844,119317,86540
기타 금속가구,50854,57199,64385
기타 금속성형기계,50673,50841,67484
기타 금속스프링,164510,268336,218396
기타 금속절삭가공기계,114269,93211,109880
기타 금속제 문,712950,673822,652862
기타 금속제 장식용품,132174,123548,125435
기타 금속제 주방 및 식탁용품,19540,18886,36823
기타 금속주조 및 압연기 부품,73228,69604,67393
기타 금속처리 제품,816236,733735,775437
기타 금속파스너,52225,54558,60809
기타 금속포장용기,747314,701438,682388
기타 금형,974367,870476,881846
기타 기계 및 장비 제조업,121692348,122409792,116727647
기타 기계식 동력전달장치,86827,115505,87134
기타 기계용 플라스틱제품,1070442,987996,1142603
기타 기록매체 복제물,X,X,X
기타 기억장치,22451,9489,8223
기타 기체 및 액체공급계기,7372,7998,4084
기타 기체 여과기 및 청정기,307505,342095,294682
기타 기체펌프 및 압축기,126562,160059,76283
기타 기초유기화합물,1255885,1298805,1384377
