"품목분류별 사업체수，생산액，출하 및 연말재고액(10명이상, 2012년)"

"C행정구역별","행정구역별","C품목별","품목별","시점","사업체수 (개)","생산액 (백만원)","출하금액 (백만원)","완제품 연말재고액 (백만원)"
'00,"전  국",'C10800109,"  기타 사료",2012,39.0000,584547.0000,581917.0000,7373.0000
'00,"전  국",'C10800200,"  동물용 조제식품",2012,5.0000,4743.0000,5057.0000,117.0000
'00,"전  국",'C11," 음료 제조업",2012,433.0000,10284499.0000,10282958.0000,327630.0000
'00,"전  국",'C11111101,"  탁주",2012,46.0000,376816.0000,376171.0000,2923.0000
'00,"전  국",'C11111102,"  약주",2012,6.0000,59251.0000,60075.0000,5763.0000
'00,"전  국",'C11112100,"  청주",2012,5.0000,36397.0000,35418.0000,4282.0000
'00,"전  국",'C11113102,"  맥주",2012,7.0000,2103632.0000,2109628.0000,16325.0000
'00,"전  국",'C11119101,"  포도주, 샴페인",2012,4.0000,9656.0000,10035.0000,1285.0000
'00,"전  국",'C11119102,"  복분자주",2012,13.0000,34432.0000,34968.0000,3042.0000
'00,"전  국",'C11119109,"  기타 발효주",2012,9.0000,6920.0000,7171.0000,1493.0000
'00,"전  국",'C11121100,"  주정",2012,10.0000,420123.0000,433541.0000,8111.0000
'00,"전  국",'C11122100,"  소주",2012,17.0000,1508349.0000,1504920.0000,33565.0000
'00,"전  국",'C11129101,"  위스키",2012,4.0000,121657.0000,110454.0000,18744.0000
'00,"전  국",'C11129102,"  매실주",2012,2.0000,...,...,...
'00,"전  국",'C11129109,"  기타 증류주 및 합성주",2012,9.0000,31068.0000,31958.0000,904.0000
'00,"전  국",'C11201100,"  얼음",2012,33.0000,...,...,...
'00,"전  국",'C11202100,"  생수",2012,49.0000,479126.0000,482134.0000,6475.0000
'00,"전  국",'C11209101,"  콜라",2012,4.0000,247558.0000,246772.0000,8157.0000
'00,"전  국",'C11209102,"  사이다",2012,9.0000,505348.0000,510097.0000,9105.0000
'00,"전  국",'C11209103,"  기타 탄산음료",2012,15.0000,360078.0000,358253.0000,15038.0000
'00,"전  국",'C11209104,"  알카리성 이온음료",2012,9.0000,166382.0000,164631.0000,7019.0000
'00,"전  국",'C11209105,"  식물성 섬유음료",2012,12.0000,117408.0000,117692.0000,2924.0000
'00,"전  국",'C11209106,"  인삼음료",2012,21.0000,190896.0000,178610.0000,36610.0000
'00,"전  국",'C11209107,"  과실음료",2012,48.0000,1003373.0000,1012077.0000,42197.0000
'00,"전  국",'C11209108,"  채소음료",2012,6.0000,31282.0000,31448.0000,630.0000
'00,"전  국",'C11209109,"  두유",2012,18.0000,447943.0000,439281.0000,24765.0000
'00,"전  국",'C11209110,"  커피 음료",2012,20.0000,613414.0000,614230.0000,18979.0000
'00,"전  국",'C11209800,"  기타 비알콜성 음료",2012,57.0000,1353792.0000,1352778.0000,56487.0000
'00,"전  국",'C12," 담배 제조업",2012,8.0000,3406413.0000,3385666.0000,112100.0000
'00,"전  국",'C12001100,"  담배잎(재건조)",2012,2.0000,...,...,...
'00,"전  국",'C12002101,"  담배",2012,6.0000,...,...,...
'00,"전  국",'C13," 섬유제품 제조업; 의복제외",2012,2405.0000,17844681.0000,17799106.0000,1074146.0000
'00,"전  국",'C13101100,"  방적용 면",2012,3.0000,67279.0000,65318.0000,4621.0000
'00,"전  국",'C13101201,"  순면사",2012,24.0000,708878.0000,720815.0000,34662.0000
