품목별,사업체수 (개),생산액 (백만원),출하금액 (백만원),완제품 연말재고액 (백만원)
  의복 및 직물제품의 염색가공,6,28104,29623,3525
  섬유 기타 가공,25,44643,44330,1801
"  카펫, 마루덮개 및 유사제품",29,280263,280120,9105
  끈 및 로프(식물성섬유),6,49589,49368,2720
  끈(합성섬유),13,27238,27527,953
  로프(합성섬유),15,131861,132002,5911
  어망,19,58993,57754,6799
  기타 망,24,62882,62507,2653
  끈가공품,29,58578,58959,1504
  세폭직물,79,171363,172227,4896
  부직포,58,578035,577019,30927
  펠트,14,59688,59967,1237
  부직포 제품,69,331038,333914,13546
  타이어코드 및타이어직물,6,536436,549054,25291
  고무도포 사,4,11239,11261,267
  기타 특수사 및 특수직물,8,87760,85525,4661
  비닐도포직물,30,157819,153737,10330
  고무도포직물,10,60259,60520,564
  기타도포 및 적층직물,49,137232,136228,5996
  워딩(솜) 제품,40,132828,131484,6524
  레이스원단 및 망직물(편직된 것),32,96828,95549,7919
  장식용 트리밍,2,...,...,...
  직물제 필터,32,180564,179371,6823
  기타 섬유제품,18,32737,32126,1763
" 의복, 의복액세서리 및 모피제품 제조업",2098,12295234,12097392,1571967
  남자 및 소년용 정장,60,617855,603603,109584
  남자 및 소년용 코트,8,12299,11841,859
  남자 및 소년용 자켓 및 점퍼,58,1304003,1287150,221873
  남자 및 소년용 바지,40,298161,287548,52484
  여자 및 소녀용 정장,235,2318024,2281411,322888
  여자 및 소녀용 코트,49,64976,64673,7051
  여자 및 소녀용 자켓 및 점퍼,143,1344217,1309307,244079
  여자 및 소녀용 치마,58,132367,130083,23909
  여자 및 소녀용 바지,89,281595,276621,52633
  남자및 소년용 속옷,18,90429,90202,9765
  남자및 소년용 내복 및 잠옷,7,5606,5809,1401
  여자 및 소녀용 속옷,33,126877,126436,16506
  여자용 보정의류,33,226577,225773,3851
  여자 및 소녀용 내복 및 잠옷,15,25419,25368,2509
  한복,11,8449,8784,581
  남성용 직물셔츠,109,566473,563504,56986
  남성용 니트셔츠(니트원단 구입),24,158549,156892,14266
  여성용 직물 블라우스 및 셔츠,134,442816,437465,42666
  여성용 니트 블라우스 및 셔츠(니트원단 구입),54,279589,269586,28400
  운동복,131,636998,615308,70434
  학생용 교복,13,124032,122260,11133
"  사무, 작업 및 위생용 의복",127,265622,264534,12744
  남자용가죽의복,11,26229,25448,2289
  여자용가죽의복,17,135588,128606,12327
  유아용 의복 및 부속품,40,338716,328724,54072
