품목별,사업체수 (개),생산액 (백만원),출하금액 (백만원),완제품 연말재고액 (백만원)
  차륜 및 부품(자동차부품),71,1112534,1102494,48504
  라디에이터 및 부품(자동차부품),39,372491,372630,6668
  배기조직 및  부품(자동차부품),123,2040893,2023914,64227
  안전벨트 및 부품(자동차부품),40,373796,371129,7714
  에어백 및 부품(자동차부품),28,706343,709191,12178
  연료탱크(자동차부품),38,403832,402835,5399
  차량용 히터,16,187626,185573,6376
  기타 자동차부품,520,6997972,6976945,133257
 기타 운송장비 제조업,603,40316241,40279646,129609
  탱커(철강제),17,16673882,16673661,501
  벌크선(철강제),7,999003,999003,0
  컨테이너선(철강제),9,9670461,9656733,31094
  가스및화학운반선,1,...,...,...
  자동차운반선,2,...,...,...
  기타 화물선(철강제),6,1609496,1604514,11284
  어선(철강제),5,9231,9231,0
  여객선(철강제),2,...,...,...
  기타 항해용 강선,5,772819,773797,5015
"  여객선(FRP제, 동력식)",1,...,...,...
"  어선(FRP제, 동력식)",21,30878,30747,425
  비철금속선(동력식),2,...,...,...
  선체블록,254,3360026,3350665,31963
  특수선박(상업 및 군사용 제외),14,1467178,1466802,2902
  물에 뜨는 구조물,1,...,...,...
  철강선박 재생 및 개조,28,232853,232853,0
  기타 선박 재생 및 개조,7,13364,13364,0
  모터보트,4,1905,1813,218
  무동력 보트,2,...,...,...
  화물용 기차,2,...,...,...
  전동차,3,324740,325551,809
  디젤기관차,1,...,...,...
"  철도, 궤도의 유지·보수용 차량",3,15693,15693,0
  철도차량 개조 및 재생,4,17089,18065,470
  제동기,3,28704,28211,928
"  차축,차륜 및 부품",7,14118,13933,598
  기타 철도차량 전용부품,39,221606,219676,7423
  철도선로장치물,15,77936,78094,185
  동력 항공기,2,...,...,...
  무동력 항공기,1,...,...,...
  대륙간 탄도 미사일,1,...,...,...
  항공기용 엔진,1,...,...,...
  항공기엔진 부품,8,207780,207463,3090
  기타 항공기 전용부품,39,845526,844642,4956
  전투용 차량,10,1033719,1033546,1641
  모터사이클,6,242126,240217,8384
  모터사이클  전용부품,33,91845,90464,5632
  자전거,2,...,...,...
  자전거 전용부품,3,1730,1743,57
  환자용 차량,5,15824,16484,1159
  환자용 차량 및 부품,3,3472,3482,49
  기타 수동식 운송장비,18,60027,59051,4333
  기타 수동식 운송장비 부품,6,13372,13048,954
 가구 제조업,1786,8309567,8290687,184539
  운송장비용 의자,85,3063437,3063341,25801
  운송장비용 의자 부품,47,592845,594815,7285
  매트리스,36,79323,78788,1714
  매트리스 지지물,9,21314,21243,370
  소파 및 가정용 내장의자,56,152611,151316,5330
  목제 식탁 및 식탁의자,26,137824,136637,9419
  목제 조리대(싱크대),74,414292,409571,12069
  목제 싱크대상판,12,48485,48559,503
  목제 상(식탁용),7,5775,5744,663
  찬장,3,...,...,...
  기타 목제 주방가구,16,45071,44977,688
  나전칠기제의 가구,1,...,...,...
  목제 책상,24,41300,40861,1764
  목제 의자,11,8846,8727,485
  거실 및 서재용 목재가구,134,349288,348509,10680
  목제 침대,59,369338,369676,11479
  화장대,14,8997,9017,202
  문갑,7,6485,6492,129
  장식장,42,62757,62399,2149
  장롱,97,366036,362841,23506
  기타 침실용 목재가구,17,22885,22712,1054
  유아 및 어린이용 목재가구,19,36267,35164,3749
  TV 및 음향기기용 목재캐비닛,4,7288,6886,638
  신발장,26,50627,50363,1176
  기타 가정용 목재가구,23,54403,54010,1542
  사무용 목재책상,102,250930,249577,8328
  사무용 목재의자,38,108016,107848,2076
  사무용 목재탁자 및 테이블,22,20764,20792,403
  사무용 보관함,52,93052,93119,1351
  목재 칸막이,22,53008,53126,671
  목재 상점진열대 및 라커,32,66546,66376,1486
  기타 사무 및 상업용 목재가구,36,72166,72019,2160
  학교 및 공공장소용 가구,50,134431,134030,4303
  실험 및 과학용 가구,23,37220,37804,142
  주문형 목재가구,99,238392,238120,4041
  목재가구 부품,72,138751,138769,4379
  가정용 금속제 주방가구,43,137833,139402,7331
  기타 가정용 금속가구,34,68189,65865,4684
  사무용 금속제 책상,18,52108,51841,1206
  사무용 금속제 의자,38,142382,141975,2266
  금속제 캐비닛,17,44931,44747,1020
  기타 사무용 보관함,16,42435,42510,147
  금속제 서가,16,60565,60522,1197
  금속제 칸막이,23,83158,83032,2168
  금속제 진열장 및 라커,57,148850,147925,3053
  기타 금속가구,32,34309,34218,400
  금속가구 부품,31,133559,133400,2579
  플라스틱제 가구,29,91449,90599,2065
  기타 소재의 가구,21,52973,52702,2509
  플라스틱및 기타 소재의 가구 부품,14,54795,54517,2032
 기타 제품 제조업,1109,3249940,3238529,184095
  귀석 및 반귀석(원석을 1차가공한 것),4,10295,10233,997
  귀금속제의 신변장신구 및 부품,61,276947,272765,20736
  귀금속제의 세공품 및 부품,5,9123,8876,446
  보석제 제품,1,...,...,...
  주화,3,306820,314190,12536
  금속제 모조 장신용품,39,110868,110699,5374
  비금속제 모조 장신용품,16,46145,44055,2998
  피아노,2,...,...,...
  피아노 부품,9,12445,11506,1609
  바이올린,1,...,...,...
  기타(guitar),3,12509,11842,993
  그외 현악기,2,...,...,...
  현악기 부품,7,16606,16362,721
  디지털 피아노,5,12855,12916,816
  전자기타,10,79575,79304,3352
  그외 전기식 악기,1,...,...,...
  전자악기 부품,6,18772,18725,548
  국악기,5,2401,2416,147
  관악기,2,...,...,...
  타악기,3,2047,1960,186
  그외 악기,4,8666,8552,474
  기타 악기의 부품,6,26512,26530,217
"  체조,육상 및 체력단련용 장비",44,132410,131986,5008
  놀이터용 장비,17,44763,44786,386
  낚시대,23,60118,58297,15087
  낚시릴,16,50521,50920,3285
  낚시바늘,8,20074,18952,2732
  낚시 인조찌,6,5962,5996,173
  기타 낚시용구,10,25586,25493,4101
  골프용품,21,54405,53590,4646
"  롤러스케이트,겨울운동 및 수상운동 용구",1,...,...,...
  운동용 공,3,3777,3664,397
  운동용 장갑류,5,4403,4549,660
"  양궁, 국궁 및 유사장비",5,24705,24567,1525
  기타 운동 및 경기용구,25,42205,42153,1382
  사람인형,2,...,...,...
  동물 및 기타인형,16,33568,34149,3680
  유모차,3,2667,2274,1050
  기타 승용장난감,11,21632,21345,2057
  조립식장난감,15,44472,44385,4547
  기타 장난감,17,23449,23160,2261
  인형 및 장난감 부품,10,9031,9031,6
  영상게임기,9,22139,23440,1555
  게임기컨트롤러,1,...,...,...
  기타 영상게임기 부품,2,...,...,...
  기타 오락용품,8,16943,16980,207
  기타 오락용품의 부품,1,...,...,...
  간판 및 광고진열물(비전기식),184,293274,292552,2753
  사인펜,5,9610,9539,297
  볼펜,19,105454,105159,6969
  샤프펜,9,6233,6371,526
  기타 펜,10,28779,28812,486
  연필,11,26253,26096,1546
  크레용 및 파스텔,7,21157,21536,2418
  기타 필기용품,6,19460,19502,1313
  기타 회화용품,9,10433,10205,1437
  스탬프(수동식),5,6063,6118,1033
  잉크리본,4,7591,7460,569
  칠판 및 필기용 보드,14,25077,25665,699
  필기구의 부품,8,19056,19267,945
  가발 및 유사제품,10,11515,11587,796
  가발제조용 원사,5,12970,12633,2759
  조화 및 모조 장식품,8,13402,13410,29
  표구 부속품,9,16217,16135,340
  실물설명용 모형,88,178966,178320,5580
  우산류,6,12463,11884,1788
  우산류 및 지팡이 부품,2,...,...,...
  일반 단추,29,59966,59984,1165
  스냅 단추,5,8306,8373,235
  지퍼,18,151765,151893,7219
  기타 파스너,12,21631,21593,789
  단추 및 지퍼 부품,8,26960,26801,802
  담배 라이터,6,11648,11828,675
  담배 필터,6,121004,119891,6931
  양초,7,4046,4006,216
  착화탄,1,...,...,...
  라이타 및 흡연용품의 부품,1,...,...,...
  칫솔,20,54081,53857,1792
  청소용 비 및 솔,22,44518,43285,4429
  개인위생용 솔,25,58943,58786,1006
  산업용 솔,11,38440,38469,145
  놀이공원용품,4,4085,4080,74
  머리빗,3,5366,5322,53
  머리핀 및 미장원용 핀,6,6039,5694,709
  화장용품,12,38515,38072,1395
  보온용 및 기타 진공용기,7,25616,25472,3795
  마네킹 인형,4,7560,7476,146
  기타 제품,9,16465,16389,445
