행정구역별,품목별,항목,단위,2014 년
전  국,미역,생산액[백만원],백만원,171165
전  국,미역,출하금액[백만원],백만원,169434
전  국,미역,완제품 연말재고액[백만원],백만원,5618
전  국,톳,사업체수[개],개,10
전  국,톳,생산액[백만원],백만원,21203
전  국,톳,출하금액[백만원],백만원,23157
전  국,톳,완제품 연말재고액[백만원],백만원,3056
전  국,기타 해조류 가공품,사업체수[개],개,50
전  국,기타 해조류 가공품,생산액[백만원],백만원,75775
전  국,기타 해조류 가공품,출하금액[백만원],백만원,74809
전  국,기타 해조류 가공품,완제품 연말재고액[백만원],백만원,4199
전  국,김치,사업체수[개],개,249
전  국,김치,생산액[백만원],백만원,1123120
전  국,김치,출하금액[백만원],백만원,1120614
전  국,김치,완제품 연말재고액[백만원],백만원,32118
전  국,단무지,사업체수[개],개,63
전  국,단무지,생산액[백만원],백만원,286069
전  국,단무지,출하금액[백만원],백만원,285725
전  국,단무지,완제품 연말재고액[백만원],백만원,10404
전  국,기타 과실 및 채소 절임식품,사업체수[개],개,95
전  국,기타 과실 및 채소 절임식품,생산액[백만원],백만원,208004
전  국,기타 과실 및 채소 절임식품,출하금액[백만원],백만원,207169
전  국,기타 과실 및 채소 절임식품,완제품 연말재고액[백만원],백만원,7501
전  국,오렌지원액,사업체수[개],개,3
전  국,오렌지원액,생산액[백만원],백만원,21104
전  국,오렌지원액,출하금액[백만원],백만원,18385
전  국,오렌지원액,완제품 연말재고액[백만원],백만원,5622
전  국,농축 과실즙,사업체수[개],개,31
전  국,농축 과실즙,생산액[백만원],백만원,149459
전  국,농축 과실즙,출하금액[백만원],백만원,149701
전  국,농축 과실즙,완제품 연말재고액[백만원],백만원,12929
전  국,농축 채소즙,사업체수[개],개,26
전  국,농축 채소즙,생산액[백만원],백만원,126519
전  국,농축 채소즙,출하금액[백만원],백만원,126761
전  국,농축 채소즙,완제품 연말재고액[백만원],백만원,3023
전  국,과실주스,사업체수[개],개,18
전  국,과실주스,생산액[백만원],백만원,109591
전  국,과실주스,출하금액[백만원],백만원,110065
전  국,과실주스,완제품 연말재고액[백만원],백만원,5731
전  국,채소주스,사업체수[개],개,7
전  국,채소주스,생산액[백만원],백만원,69480
전  국,채소주스,출하금액[백만원],백만원,69488
전  국,채소주스,완제품 연말재고액[백만원],백만원,139
전  국,과실 통조림,사업체수[개],개,15
전  국,과실 통조림,생산액[백만원],백만원,52038
전  국,과실 통조림,출하금액[백만원],백만원,51243
전  국,과실 통조림,완제품 연말재고액[백만원],백만원,4632
전  국,잼 및 젤리 통조림,사업체수[개],개,25
전  국,잼 및 젤리 통조림,생산액[백만원],백만원,166446
전  국,잼 및 젤리 통조림,출하금액[백만원],백만원,165319
전  국,잼 및 젤리 통조림,완제품 연말재고액[백만원],백만원,11989
전  국,냉동 과실,사업체수[개],개,14
전  국,냉동 과실,생산액[백만원],백만원,54709
전  국,냉동 과실,출하금액[백만원],백만원,54121
전  국,냉동 과실,완제품 연말재고액[백만원],백만원,5527
전  국,기타 과실가공품,사업체수[개],개,35
전  국,기타 과실가공품,생산액[백만원],백만원,70237
전  국,기타 과실가공품,출하금액[백만원],백만원,69883
전  국,기타 과실가공품,완제품 연말재고액[백만원],백만원,6112
전  국,채소 통조림,사업체수[개],개,5
전  국,채소 통조림,생산액[백만원],백만원,6901
전  국,채소 통조림,출하금액[백만원],백만원,7007
전  국,채소 통조림,완제품 연말재고액[백만원],백만원,674
전  국,건조 채소,사업체수[개],개,32
전  국,건조 채소,생산액[백만원],백만원,68848
전  국,건조 채소,출하금액[백만원],백만원,70043
전  국,건조 채소,완제품 연말재고액[백만원],백만원,5314
전  국,기타 채소가공품,사업체수[개],개,69
전  국,기타 채소가공품,생산액[백만원],백만원,219518
전  국,기타 채소가공품,출하금액[백만원],백만원,216935
전  국,기타 채소가공품,완제품 연말재고액[백만원],백만원,9998
전  국,견과 가공품,사업체수[개],개,26
전  국,견과 가공품,생산액[백만원],백만원,191567
전  국,견과 가공품,출하금액[백만원],백만원,186304
전  국,견과 가공품,완제품 연말재고액[백만원],백만원,13682
전  국,식용 지방(육지동물의 것),사업체수[개],개,8
전  국,식용 지방(육지동물의 것),생산액[백만원],백만원,94800
전  국,식용 지방(육지동물의 것),출하금액[백만원],백만원,94369
전  국,식용 지방(육지동물의 것),완제품 연말재고액[백만원],백만원,3911
