품목별,출하금액(백만원)
초산에틸,X
아크릴산,125075
무수마레인산,73568
무수프탈산(PA),245128
테레프탈산(TPA),3210706
메틸메타크릴레이트(MMA),510375
아크릴레이트,429477
기타카르복실산및그유도체,106266
메틸터셔리부틸에테르(MTBE),171071
아민,182115
아크릴로니트릴(AN),1172956
톨루엔디이소시아네이트(TDI),962762
메틸렌디페닐디이소시아네이트(MDI),1927682
멜라민,X
카프로락탐(CPLM),X
아세톤,476060
가소제,926987
ECH(에피클로로히드린),X
산화프로필렌(PO),X
초산비닐,X
아디핀산,X
BPA(비스페놀A),1633871
고순도이소프탈산,X
폴리테트라메틸렌에테르글리콜(PTMEG),305008
포르말린,88161
기타기초유기화합물,2003665
수소(Hydrogen),1452748
질소(Nitrogen),1584688
산소(Oxygen),689639
아세틸렌가스,44380
이산화탄소,271553
아르곤가스,288686
희소가스,X
기타산업용가스,1143960
구입한압축및액화가스의정제,115987
염소,237005
염산,89453
수산화나트륨(가성소다),894899
염소산나트륨,16985
기타가성소다,344897
소다회,X
기타소다공업제품,82105
카본블랙,834316
화이트카본,X
이산화규소,X
과산화수소,697032
황,247537
합성귀석,X
오산화인,12290
기타비금속화합물,79931
황산,376211
인산,103361
기타무기산,18937
황산알루미늄,85523
황산마그네슘,X
탄산칼슘,392300
규산소다,71100
시안화나트륨,X
수산화알루미늄,126792
탄산칼륨,X
기타칼륨염,X
기타금속무기화합물,513740
핵연료,X
폴리실리콘,341327
잉곳및웨이퍼(태양전지용),X
아연화,266722
산화티타늄,111237
산화철,86752
기타무기안료,116695
천연색소,X
유연제,59235
분산염료,236585
산성및매염염료,50279
직접염료,75944
반응성염료,169055
형광염료,38767
플라스틱착색제(마스터배치),645283
색소중간착색제,68296
기타합성염료,48770
레이크계안료,103018
색소안료,277898
SBR,1033158
BR,950615
SB라텍스,1807090
기타합성고무,1718967
고밀도폴리에틸렌(HDPE),4862231
저밀도폴리에틸렌(LDPE),4133413
폴리스티렌(PS),1807137
ABS수지,5081930
PVC수지,2142000
폴리프로필렌(PP),9292858
에폭시수지,2713753
실리콘수지,1197630
불포화폴리에스터수지,578328
선형폴리에스터수지,901163
아크릴수지(PMMA),513603
요소수지,X
멜라민수지,80895
페놀수지,295631
폴리우레탄,864419
엔지니어링플라스틱수지,5709156
석유수지,327527
PETG수지,X
셀룰로스에테르,X
K-RESIN,X
폴리에틸렌테레프탈레이트(PET),961706
기타합성수지,2435223
구입한수지의배합물,1766148
재생수지,1090884
질산,213224
암모니아,456645
요소,204515
황산암모늄,X
기타질소비료,75266
인산비료,X
복합비료,1060844
기타화학비료,12750
유기질비료,589689
기타비료,228627
가정용화학살균및살충제,449919
화학살충제(농업용),580745
화학살균제(농업용),467277
화학제초제(농업용),215086
화학생장조절제,23030
"기타화학살균,살충제및농업용약제",54399
가정용생물살균및살충제,26798
생물살충체(농업용),35555
생물살균제(농업용),X
생물제초제(농업용),X
식물보호제,16904
"기타생물살균,살충제및식물보호제",10618
유성페인트,2043699
수성페인트,197668
에나멜페인트,92980
락카,34903
우레탄도료,568223
아크릴도료,648103
에폭시도료,407971
기타합성수지도료,335828
도료충전제,397758
EMC(에폭시몰딩컴파운드),237974
시너(Thinner),273359
기타도료및관련제품,256917
요업용도포제,98480
옵셋잉크,261368
그라비아잉크,341042
디지털잉크,103009
기타잉크,79766
그림물감,33514
유기계면활성제,1817508
조제계면활성제,324136
화장비누,277958
세탁비누,15300
공업용비누,14306
세탁용합성세제,707910
주방용합성세제,348651
기타세제,148603
치약,316558
글리세린,72029
화운데이션,1052667
크림,3006359
로션및오일,5334908
루즈,258105
볼터치,45894
아이세도우,433273
샴푸,701552
린스,68586
염색약,206148
기타두발용조제품,219411
파우다,175671
향수,28997
화장수,595715
콜롱,X
메니큐어및제거제,53335
헤어스프레이및무스,4823
기타화장품,1746379
실내용가향제,186173
왁스,86072
구두약,2003
기타광택제,60151
PS인쇄판,6180
"사진용감광성필름,판및종이",329017
토너및토너카트리지,47442
사진용화학물질,345953
가공및정제염,90606
천연접착제,282347
합성수지접착제,1889683
젤라틴,188015
화약및폭약,372214
도화선및뇌관(화약용),112270
폭죽및조명탄,13673
바이오디젤,1585171
바이오에탄올,33755
기타바이오연료및혼합물,9110
방향유,161105
반도체용식각제,3816172
PR(포토레지스터),1415043
액정(liquidcrystal),494790
기타전자공업용화학화합물,799735
자동차용화합물,401487
콘크리트경화제,498174
필기용잉크,32439
조제윤활제,190603
미생물배양제,93876
가황촉진제,55860
산화방지제(고무·플라스틱용),841279
금속표면처리용화합물,1774493
발포및소포제,210963
방수액,209901
활성탄,114250
제올라이트,32655
수처리제,423127
휴대용연료,X
리튬코발트산화물,1255420
부동액,8300
자동차촉매,4022660
안정제(고무·플라스틱용),467146
기타화학제품,6546754
폴리아미드섬유,1193286
폴리에스터섬유,2051799
스판덱스섬유,457316
아크릴릭섬유,X
기타합성스테이플섬유,X
아세테이트섬유,X
재생장섬유토우,30116
기타재생섬유,94258
의료용물질및의약품제조업,26832085
의약품원료,2514682
백신,1174815
기타생물학적제제,1577929
의약품제제,18638142
한의약품,592085
동물용약제품,675756
"탈지면,거즈,붕대및유사제품",503801
진단용시약(의료용),885512
기타의약관련제품,269363
고무및플라스틱제품제조업,72451220
승용차타이어,5311789
버스및화물차타이어,456577
모터사이클타이어,X
기타자동차타이어,38903
자동차튜브,183812
자전거타이어,X
기타비동력식차량의타이어및튜브,X
타이어및튜브부속품,129787
재생타이어,75708
고무패킹,1817984
재생고무,45287
배합고무,402499
방진고무,1227008
공업용고무롤,111821
공업용고무판,97655
고무관및파이프,131170
고무호스,798380
고무벨트,259635
고무직물,17403
기타산업용고무제품,241732
고무장갑,75431
피임용기구(고무제),X
고무젖꼭지,6376
기타위생용고무제품,47507
고무매트,397835
고무보트,X
고무줄및밴드,56211
고무자석,X
고무스펀지및발포성제품,323969
기타고무제품,127034
플라스틱프로파일,378316
플라스틱샤시바,643090
플라스틱파이프,1186236
플라스틱호스,330710
플라스틱연결구류,494716
폴리에틸렌(PE)필름,2528034
