품목별,출하액 (백만원)
화장용품,139490
향수 및 화장품용 스프레이,X
우산류,19756
지팡이,X
보온용 및 기타 진공용기,23742
마네킹 인형,6375
기타 제품,137520
우산류 및 지팡이 부품,X
산업용 기계 및 장비 수리업,3009142
건설ㆍ광업용 기계 및 장비수리,163044
산업용 기계 및 장비 수리,1512522
선박 부품 수리,305167
항공기 부품 수리,98145
사무용 기계 수리,12797
전기ㆍ전자 및 정밀기기 수리,917467
