품목별,출하액 (백만원)
색소안료,248614
SBR,461550
BR,1085110
SB라텍스,1818348
기타 합성고무,992297
고밀도폴리에틸렌(HDPE),3685461
저밀도폴리에틸렌(LDPE),3834218
폴리스티렌(PS),1628435
ABS수지,3660810
PVC수지,1762290
폴리프로필렌(PP),8358268
에폭시수지,1580704
실리콘수지,982677
불포화폴리에스터수지,589627
선형폴리에스터수지,1196812
아크릴수지(PMMA),723501
요소수지,63118
멜라민수지,88463
페놀수지,179868
폴리우레탄,751933
엔지니어링플라스틱수지,4316400
석유수지,X
PETG수지,X
셀룰로스 에테르,X
K-RESIN,X
폴리에틸렌테레프탈레이트(PET),649639
기타 합성수지,1618312
구입한 수지의 배합물,1300368
재생수지,922034
질산,139783
암모니아,350596
요소,X
황산암모늄,X
기타 질소비료,25958
인산비료,X
기타 칼륨비료,X
복합비료,903699
기타 화학비료,56963
유기질비료,608852
기타비료,146932
가정용 화학 살균 및 살충제,287078
화학 살충제(농업용),517849
화학 살균제(농업용),400032
화학 제초제(농업용),214443
화학 생장조절제,21129
"기타 화학 살균, 살충제 및 농업용 약제",45919
가정용 생물 살균 및 살충제,21534
생물 살충체(농업용),32465
생물 살균제(농업용),17226
생물 제초제(농업용),X
식물보호제,X
"기타 생물 살균, 살충제 및 식물보호제",10574
유성 페인트,1845622
수성 페인트,227102
에나멜페인트,97732
락카,84045
우레탄도료,367169
아크릴도료,434899
에폭시도료,336161
기타 합성수지 도료,409140
도료충전제,231299
EMC(에폭시몰딩컴파운드),236646
시너(Thinner),241764
기타 도료 및 관련제품,227354
요업용 도포제,100295
옵셋 잉크,293187
그라비아 잉크,275019
디지털 잉크,87158
기타 잉크,80885
그림물감,32016
유기계면활성제,1445781
조제계면활성제,283442
화장 비누,261817
세탁 비누,23537
공업용 비누,X
세탁용 합성세제,598535
주방용 합성세제,317337
기타 세제,94461
치약,217358
글리세린,39243
화운데이션,771377
크림,2526039
로션 및 오일,4682341
루즈,263238
볼터치,52114
아이세도우,422987
샴푸,526430
린스,34492
염색약,121365
기타 두발용조제품,253553
파우다,163036
향수,23197
화장수,620502
콜롱,X
매니큐어 및 제거제,31448
헤어스프레이 및 무스,6483
기타 화장품,1932634
실내용 가향제,113794
왁스,84910
구두약,3250
기타 광택제,59534
PS인쇄판,81124
"사진용 감광성 필름, 판 및 종이",469755
토너 및 토너카트리지,43922
사진용 화학물질,204524
가공 및 정제염,84491
천연 접착제,203023
합성수지 접착제,1725647
젤라틴,166150
화약 및 폭약,360602
도화선 및 뇌관(화약용),83905
폭죽 및 조명탄,22074
바이오 디젤,813149
바이오 에탄올,X
기타 바이오 연료 및 혼합물,29314
방향유,164394
반도체용 식각제,2324877
PR(포토레지스터),1376797
액정(liquid crystal),505364
기타 전자공업용 화학화합물,439352
자동차용 화합물,476430
콘크리트경화제,505152
필기용 잉크,25681
조제윤활제,204020
미생물 배양제,94090
가황촉진제,63200
산화방지제(고무·플라스틱용),611893
금속표면처리용 화합물,1297373
발포 및 소포제,185011
방수액,197717
활성탄,90607
제올라이트,44803
수처리제,315077
휴대용 연료,X
리튬코발트산화물,712733
부동액,X
자동차촉매,1635243
안정제(고무·플라스틱용),467159
기타 화학제품,1302057
폴리아미드섬유,1088323
폴리에스터섬유,1770871
스판덱스섬유,282384
아크릴릭섬유,X
기타 합성스테이플섬유,X
아세테이트섬유,X
재생장섬유토우,40151
기타 재생섬유,61393
의료용 물질 및 의약품 제조업,21441408
의약품 원료,2065138
백신,372262
기타 생물학적 제제,581348
의약품제제,16290942
한의약품,509801
동물용 약제품,563406
"탈지면, 거즈, 붕대 및 유사제품",320490
진단용 시약(의료용),503030
기타 의약관련제품,234991
고무 및 플라스틱제품 제조업,67789616
승용차타이어,5793611
버스 및 화물차 타이어,427436
모터사이클타이어,X
기타 자동차 타이어,49588
자동차 튜브,190898
자전거 타이어,X
기타 비동력식 차량의 타이어 및 튜브,X
타이어 및 튜브 부속품,112934
재생 타이어,59479
고무패킹,1782204
재생고무,44780
배합고무,562018
방진고무,1260307
공업용 고무롤,99476
공업용 고무판,104107
고무 관 및 파이프,125351
고무호스,883992
고무벨트,270306
고무직물,X
기타 산업용 고무제품,341814
고무 장갑,79916
피임용 기구(고무제),X
고무젖꼭지,6640
기타 위생용 고무제품,50487
고무 매트,294551
고무 보트,28420
