회전위상변환기,11735,FALSE,회전위상변환기,3020,,휘발유,6194575,,DDI,...,,CMOS이미지센서,60005,,DMF(디메틸포름아미드),...,,ECH(에피클로로히드린),...,,DMF(디메틸포름아미드),...,,DVR,355447,,DRAM,34930293,,CMOS이미지센서,1022272,,DDI,3332348,,DMB송수신기기,23020,,DRAM,60266604,,DRAM,94874187
회계부,3871,TRUE,,,,후추가루,14436,,CMOS이미지센서,34163,,CFM(클로로포름),...,,DMB송수신기기,12426,,DVR,309003,,DDI,630023,,DRAM,27909158,,DMB송수신기기,74976,,"CD플레이어,레코드플레이어및턴테이블",X,,CMOS이미지센서,2359573,,DDI,3238511,,DMB송수신기기,35464,,DMB송수신기기,26415
황산지,...,TRUE,,,,효모,47895,,CFM(클로로포름),...,,"CD플레이어,레코드플레이어및턴테이블",...,,DDI,173776,,DRAM,27489308,,CMOS이미지센서,153379,,DMB송수신기기,59774,,DDI,484320,,BR,1003542,,"CD플레이어,레코드플레이어및턴테이블",X,,CMOS이미지센서,3001851,,DDI,3507816,,DDI,6131430
황산암모늄,42543,FALSE,황산암모늄,64281,,회주물(보통주철),1180972,,"CD플레이어,레코드플레이어및턴테이블",...,,BR,...,,CMOS이미지센서,560384,,DMF(디메틸포름아미드),...,,CFM(클로로포름),...,,DDI,582003,,CMOS이미지센서,179058,,BPA(비스페놀A),814375,,BR,1058862,,BR,1030520,,CMOS이미지센서,2998098,,CMOS이미지센서,6084452
황산알루미늄,43282,FALSE,황산알루미늄,42158,,회전위상변환기,3280,,BR,...,,BPA,...,,CFM(클로로포름),...,,DMB송수신기기,27381,,"CD플레이어,레코드플레이어및턴테이블",...,,CMOS이미지센서,201263,,CFM(클로로포름),...,,BLU용광학필름,831749,,BPA(비스페놀A),876362,,BPA(비스페놀A),1173488,,BR,1085110,,"CD플레이어,레코드플레이어및턴테이블",13290
황산마그네슘,5561,FALSE,황산마그네슘,4811,,황산암모늄,54073,,BPA,...,,ASIC로직,719131,,"CD플레이어,레코드플레이어및턴테이블",...,,DDI,330054,,BR,1825009,,CFM(클로로포름),...,,"CD플레이어,레코드플레이어및턴테이블",...,,ASIC로직,1500772,,BLU용광학필름,1063683,,BLU용광학필름,1089674,,BPA(비스페놀A),1011610,,BR,950615
황산,76542,FALSE,황산,87560,,황산알루미늄,63690,,ASIC로직,648829,,ABS수지,1939841,,BR,...,,CMOS이미지센서,78023,,BPA(biphendA),1037112,,"CD플레이어,레코드플레이어및턴테이블",...,,BR,1278882,,ABS수지,3346724,,ASIC로직,1075947,,ASIC로직,1237486,,BLU용광학필름,992583,,BPA(비스페놀A),1633871
황,52352,FALSE,황,322692,,황산마그네슘,6298,,ABS수지,1865548,,흑연및탄소제품(비전기용),113320,,BPA,...,,CFM(클로로포름),...,,BLU용광학필름,794298,,BR,1254753,,BPA(비스페놀A),1332975,,희소가스,X,,ABS수지,3690188,,ABS수지,3661799,,ASIC로직,1764699,,BLU용광학필름,1465236
활성탄,57292,FALSE,활성탄,60851,,황산,102629,,흑연및탄소제품(비전기용),103507,,흄관및VR관,241211,,BLU용광학필름,...,,CDV형승용차,...,,ASIC로직,2288915,,BPA(biphendA),1275238,,BLU용광학필름,685946,,흑연및탄소제품(비전기용),170713,,희소가스,X,,희소가스,X,,ABS수지,3660810,,ASIC로직,2824715
활석분,23441,TRUE,,,,황,60111,,흄관및VR관,193825,,휴대용전화기부품,2893702,,ASIC로직,572880,,"CD플레이어,레코드플레이어및턴테이블",...,,ABS수지,5311497,,BLU용광학필름,749865,,ASIC로직,1852557,,흄관및VR관,206400,,흑연및탄소제품(비전기용),90496,,흑연및탄소제품(비전기용),101854,,희소가스,X,,ABS수지,5081930
활석,...,TRUE,,,,활성탄,64890,,휴대용전화기(GSM방식),20309036,,휴대용전화기(GSM방식),28443394,,ABS수지,2359323,,BR,1706217,,흑연및탄소제품(비전기용),89539,,ASIC로직,2423854,,ABS수지,3574383,,휴대폰용카메라모듈,3500363,,흄관및VR관,250991,,흄관및VR관,249342,,흑연및탄소제품(비전기용),116632,,희소가스,X
환자감시장치,23700,FALSE,환자감시장치,17659,,환자감시장치,21903,,휴대용전화기(CDMA방식),11690215,,휴대용전화기(CDMA방식),14945205,,흑연및탄소제품(비전기용),168727,,BPA(BiphendA),1087541,,흄관및VR관,177208,,ABS수지,4563534,,희소가스,...,,휴대용전화기KD세트,X,,휴대폰용카메라모듈,5466990,,휴대폰용카메라모듈,5599671,,흄관및VR관,176933,,흑연및탄소제품(비전기용),193084
