후추가루,15671,28437,14436,20268,20442,19801,23075,27230,41169,41543,39377,44180,49636,54942,59928
혼합조미료,339890,283729,217922,163483,188982,377257,579103,775860,929478,873837,1108490,1254503,1470043,1149116,1473461
기타천연조미료,,45103,89378,102930,123072,95529,107576,119923,109466,107082,147900,190578,215873,169018,231527
마요네즈,100535,109559,129992,137696,195878,238990,205752,273318,285628,257457,205644,249519,363473,241813,248680
케찹,55550,58673,64224,64635,77051,133233,113741,62492,66365,76585,110870,111117,83640,95941,100557
카레,75390,50125,...,58272,68105,18711,60330,68131,97533,108579,110098,95119,51108,78934,101378
기타혼합조제조미료,,,,607701,599853,740088,935061,830051,851639,828022,1101921,1046744,1109157,1462925,1592414
간장,172619,152268,212877,192783,237577,306359,318965,348970,329726,380368,314258,317528,377969,384434,363013
된장,68074,88362,130009,94514,135938,170157,202184,145980,221646,233679,217387,189192,205054,189268,199032
고추장,237096,277582,348054,211206,187312,305452,318699,276390,258040,380993,354769,448194,404235,351238,425420
춘장,17113,24273,29375,44641,38536,39943,64384,24986,49342,33287,34360,37039,18512,36090,56737
메주,7742,7533,5783,4516,4951,4183,4623,5604,7272,5896,8112,11623,9733,9095,11945
혼합장,62578,,,,,,10452,45642,62221,68076,32638,36541,27103,34097,61440
기타장류,14592,96163,74254,152627,100902,95004,58017,71409,227941,277208,144652,120396,78646,87851,74206
커피크리머,146008,127180,132750,140445,166437,203140,174327,189481,186610,189882,107055,160876,132261,131748,83303
효모,27135,31494,47895,59069,56564,67240,45399,58363,31452,33338,30206,43135,36820,34044,48756
가라기난,,,,...,...,...,...,...,...,...,X,X,X,X,X
식품용색소,17429,,,11999,11601,15714,23758,43539,40675,45469,54662,73143,89863,92415,152870
기타식품첨가물,175301,286499,321708,171622,306147,298849,308480,306493,328550,344191,308094,378473,431464,414916,580933
김밥(제조도매),,100543,95391,97395,95362,155095,190499,204158,235204,267509,252742,327126,351005,443896,537391
도시락(제조도매),,358148,390749,453817,492878,343920,383646,432769,450472,468071,706734,854995,958936,954971,1148389
냉동만두,,,,278008,281184,388078,476655,388720,537607,442039,701303,719595,741279,787559,857848
기타냉동조리식품,,,,291054,311871,514417,885474,950059,979548,1110205,1384910,1496714,1565318,1727260,2170712
레토르트식품,67869,48182,86088,170294,339745,296517,291174,596515,510102,732393,762539,832084,923943,1127718,1697106
기타식사용조리식품(제조도매),,196048,224686,255287,246571,307428,294322,329377,367215,482763,600324,737202,505938,617111,1112889
